x,y,Rules,class,coverage
-11.55311203,33.54711914,46,0,1
9.976023674,32.54021454,47,1,0.914285714
-26.97882652,-3.995236874,48,2,0.028571429
7.214702606,6.392069817,49,1,0.028571429
-28.52315521,10.37940979,50,2,0.171428571
1.513544083,-37.52825546,51,1,0.028571429
9.768561363,-12.83512402,52,2,0.028571429
18.24160576,-15.39402103,53,2,0.028571429
-16.00769424,-19.9313488,54,1,0.028571429
49.61292267,2.748499393,55,2,0.742857143
-15.5854826,40.09768295,56,0,0.885714286
-18.21759605,-5.615049362,57,1,0.085714286
-12.43953228,8.438970566,58,0,0.114285714
8.295262337,25.07265472,59,1,0.6
-13.89750385,-1.979843259,60,1,0.228571429
-31.28646088,-5.714524269,61,2,0.028571429
9.722874641,6.100217342,62,1,0.028571429
11.96448517,-10.83656693,63,2,0.028571429
-13.61967659,-19.02994537,64,1,0.028571429
24.62043762,-16.75053024,65,2,0.028571429
30.06833267,27.93379402,66,2,0.057142857
2.169281721,-37.39626694,67,1,0.028571429
-20.37734032,3.573525429,68,2,0.142857143
34.74171066,7.459113598,69,2,0.714285714
-13.13903713,33.37477112,70,0,1
13.4992609,29.75113297,71,1,0.914285714
-30.72222328,-6.381989956,72,2,0.028571429
12.19874859,6.882552147,73,1,0.028571429
9.196094513,-13.63864422,74,2,0.028571429
-16.00769424,-19.9313488,75,1,0.028571429
23.35284424,-16.05542564,76,2,0.028571429
-20.65189171,3.583724022,77,2,0.171428571
2.60520339,-40.7754631,78,1,0.028571429
-17.05194473,1.019372821,79,2,0.028571429
34.74174118,7.459100723,80,2,0.714285714
-12.41478062,31.89133644,81,0,1
13.49925995,29.75109673,82,1,0.914285714
5.324557304,-14.93971539,83,2,0.057142857
-23.67009354,-30.57504082,84,1,0.057142857
23.73004341,-15.19604015,85,2,0.028571429
30.05105782,28.66836929,86,2,0.057142857
3.029665709,-38.25543213,87,1,0.028571429
31.53584099,7.963969707,88,2,0.857142857
-11.17236614,34.05154037,89,0,1
13.49920082,29.75060081,90,1,0.914285714
-31.90619659,-6.224778175,91,2,0.028571429
9.722875595,6.100217342,92,1,0.028571429
-13.61970329,-19.02992821,93,1,0.028571429
11.9649725,-10.83659077,94,2,0.028571429
19.61210632,-15.66452026,95,2,0.028571429
3.342840672,-39.58334351,96,1,0.028571429
30.80247307,28.26438332,97,2,0.057142857
32.11935425,8.495531082,98,2,0.857142857
-12.34311581,31.47807121,99,0,1
9.420241356,33.28458405,100,1,0.914285714
-31.54916,-6.849216938,101,2,0.028571429
10.90038586,6.298084259,102,1,0.028571429
-12.36960602,-18.87148857,103,1,0.028571429
18.534235,-13.81657505,104,2,0.057142857
4.273204803,-39.82400894,105,1,0.028571429
30.62836075,28.69082642,106,2,0.057142857
31.3398819,8.366762161,107,2,0.857142857
-10.71767902,32.82663727,108,0,1
13.49919796,29.75057602,109,1,0.914285714
5.324557781,-14.93971539,110,2,0.057142857
-23.02732277,-30.13375854,111,1,0.057142857
23.38249779,-15.69690609,112,2,0.028571429
30.66125298,27.98454094,113,2,0.057142857
2.105648518,-40.67649841,114,1,0.028571429
